userId,movieId,label,rating_count,avg_rating,genres,user_activity,genre_overlap,retrieval_score
1,1,1,215.0,3.9209302325581397,Adventure|Animation|Children|Comedy|Fantasy,232,5,4.256853103637695
1,3,1,52.0,3.2596153846153846,Comedy|Romance,232,2,4.216549873352051
1,6,1,102.0,3.946078431372549,Action|Crime|Thriller,232,3,0.7382103204727173
1,47,1,203.0,3.9753694581280787,Mystery|Thriller,232,2,-2.5250308513641357
1,50,1,204.0,4.237745098039215,Crime|Mystery|Thriller,232,3,2.484743595123291
1,101,1,23.0,3.782608695652174,Adventure|Comedy|Crime|Romance,232,4,-6.493732929229736
1,110,1,237.0,4.031645569620253,Action|Drama|War,232,3,8.032689094543457
1,151,1,44.0,3.5454545454545454,Action|Drama|Romance|War,232,4,-0.22727584838867188
1,157,1,11.0,2.8636363636363638,Comedy|War,232,2,0.9065361022949219
1,163,1,66.0,3.5606060606060606,Action|Romance|Western,232,3,4.857300758361816
1,216,1,49.0,3.326530612244898,Comedy,232,1,3.7233383655548096
1,231,1,133.0,3.0601503759398496,Adventure|Comedy,232,2,-6.691007614135742
1,235,1,70.0,3.6785714285714284,Comedy|Drama,232,2,2.303341865539551
1,260,1,251.0,4.231075697211155,Action|Adventure|Sci-Fi,232,3,6.054933071136475
1,333,1,50.0,3.78,Comedy,232,1,-0.9220559597015381
1,349,1,110.0,3.6045454545454545,Action|Crime|Drama|Thriller,232,4,-12.14394760131836
1,356,1,329.0,4.164133738601824,Comedy|Drama|Romance|War,232,4,5.7858805656433105
1,362,1,34.0,3.5294117647058822,Adventure|Children|Romance,232,3,0.10601115226745605
1,367,1,157.0,3.1847133757961785,Action|Comedy|Crime|Fantasy,232,4,2.7829232215881348
1,441,1,42.0,3.9285714285714284,Comedy,232,1,-10.946991920471191
1,457,1,190.0,3.9921052631578946,Thriller,232,1,2.825770378112793
1,480,1,238.0,3.75,Action|Adventure|Sci-Fi|Thriller,232,4,15.217170715332031
1,527,1,220.0,4.225,Drama|War,232,2,-4.6451263427734375
1,543,1,41.0,3.317073170731707,Comedy|Romance|Thriller,232,3,1.97959303855896
1,552,1,61.0,3.262295081967213,Action|Adventure|Comedy|Romance,232,4,-2.884761095046997
1,553,1,65.0,3.8153846153846156,Action|Drama|Western,232,3,-9.44243335723877
1,590,1,164.0,3.8353658536585367,Adventure|Drama|Western,232,3,8.475570678710938
1,592,1,189.0,3.4285714285714284,Action|Crime|Thriller,232,3,-1.4016655683517456
1,593,1,279.0,4.161290322580645,Crime|Horror|Thriller,232,3,-6.447227954864502
1,596,1,60.0,3.45,Animation|Children|Fantasy|Musical,232,4,-5.310990333557129
1,608,1,181.0,4.116022099447513,Comedy|Crime|Drama|Thriller,232,4,-4.458832740783691
1,661,1,49.0,3.4489795918367347,Adventure|Animation|Children|Fantasy|Musical,232,5,0.21688604354858398
1,733,1,121.0,3.6404958677685952,Action|Adventure|Thriller,232,3,-1.9163633584976196
1,804,1,8.0,3.25,Comedy|Romance,232,2,2.980215072631836
1,919,1,92.0,3.880434782608696,Adventure|Children|Fantasy|Musical,232,4,0.04221534729003906
1,923,1,69.0,4.043478260869565,Drama|Mystery,232,2,-1.1268503665924072
1,940,1,8.0,4.0,Action|Adventure|Romance,232,3,2.316169261932373
1,943,1,7.0,3.9285714285714284,Drama|Fantasy|Romance,232,3,4.210183143615723
1,954,1,18.0,4.083333333333333,Drama,232,1,-0.5013573169708252
1,1023,1,13.0,3.6153846153846154,Animation|Children|Musical,232,3,-7.048182487487793
1,1024,1,6.0,3.6666666666666665,Animation|Children|Musical,232,3,-12.034709930419922
1,1025,1,25.0,3.58,Animation|Children|Fantasy|Musical,232,4,-0.9355341792106628
1,1029,1,35.0,3.3857142857142857,Animation|Children|Drama|Musical,232,4,-1.9171044826507568
1,1031,1,24.0,3.4791666666666665,Adventure|Children|Musical,232,3,-6.027946472167969
1,1032,1,40.0,3.375,Adventure|Animation|Children|Fantasy|Musical,232,5,15.895029067993164
1,1042,1,42.0,3.2738095238095237,Comedy|Drama,232,2,-1.3080928325653076
1,1049,1,21.0,3.4761904761904763,Action|Adventure,232,2,1.9636272192001343
1,1060,1,36.0,3.6944444444444446,Comedy|Drama,232,2,2.0365772247314453
1,1073,1,119.0,3.8739495798319328,Children|Comedy|Fantasy|Musical,232,4,3.2576422691345215
1,1080,1,89.0,3.9269662921348316,Comedy,232,1,8.192902565002441
1,1089,1,131.0,4.202290076335878,Crime|Mystery|Thriller,232,3,-12.297270774841309
1,1090,1,63.0,3.984126984126984,Drama|War,232,2,-0.9629055261611938
1,1092,1,47.0,3.1914893617021276,Crime|Mystery|Thriller,232,3,-8.237227439880371
1,1097,1,122.0,3.7663934426229506,Children|Drama|Sci-Fi,232,3,-2.456218719482422
1,1127,1,62.0,3.475806451612903,Action|Adventure|Sci-Fi|Thriller,232,4,-6.078187465667725
1,1136,1,136.0,4.161764705882353,Adventure|Comedy|Fantasy,232,3,-7.417788505554199
1,1196,1,211.0,4.2156398104265405,Action|Adventure|Sci-Fi,232,3,-6.978809356689453
1,1197,1,142.0,4.232394366197183,Action|Adventure|Comedy|Fantasy|Romance,232,5,-3.599580764770508
